"CN","INVYR","LICHEN_REGION","LICH_SPPCD","MEASYEAR","LICHEN_REGION_DESCR","SPP_ACRONYM","GENUS","SUM_ABUNDANCE","FREQUENCY_PCT","SPECIES","PLOTS_IN_REGION","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"273478037489998",2003,4,5301,2003,"West Coast                              ","Pmoarn","Parmotrema                              ",13,2,"arnoldii                                ",218,"",2014-08-04,"489998","",,""
"273478038489998",2003,4,5303,2003,"West Coast                              ","Pmochi","Parmotrema                              ",14,2,"chinense                                ",218,"",2014-08-04,"489998","",,""
"273478039489998",2003,4,5502,2003,"West Coast                              ","Pelbri","Peltigera                               ",2,0,"britannica                              ",218,"",2014-08-04,"489998","",,""
"273478040489998",2003,4,5503,2003,"West Coast                              ","Pelcol","Peltigera                               ",56,10,"collina                                 ",218,"",2014-08-04,"489998","",,""
"273478041489998",2003,4,5507,2003,"West Coast                              ","Pelmem","Peltigera                               ",10,2,"membranacea                             ",218,"",2014-08-04,"489998","",,""
"273478042489998",2003,4,5509,2003,"West Coast                              ","Pelneo","Peltigera                               ",5,1,"neopolydactyla                          ",218,"",2014-08-04,"489998","",,""
"273478043489998",2003,4,5512,2003,"West Coast                              ","Pelpra","Peltigera                               ",11,2,"praetextata                             ",218,"",2014-08-04,"489998","",,""
"273478044489998",2003,4,5605,2003,"West Coast                              ","Phahir","Phaeophyscia                            ",6,1,"hirsuta                                 ",218,"",2014-08-04,"489998","",,""
"273478045489998",2003,4,5607,2003,"West Coast                              ","Phahis","Phaeophyscia                            ",3,0,"hispidula                               ",218,"",2014-08-04,"489998","",,""
"273478046489998",2003,4,5612,2003,"West Coast                              ","Phaorb","Phaeophyscia                            ",15,2,"orbicularis                             ",218,"",2014-08-04,"489998","",,""
"273478047489998",2003,4,5700,2003,"West Coast                              ","Phy   ","Physcia                                 ",6,1,"",218,"",2014-08-04,"489998","",,""
"273478048489998",2003,4,5701,2003,"West Coast                              ","Phyads","Physcia                                 ",66,10,"adscendens                              ",218,"",2014-08-04,"489998","",,""
"273478049489998",2003,4,5702,2003,"West Coast                              ","Phyaip","Physcia                                 ",46,8,"aipolia                                 ",218,"",2014-08-04,"489998","",,""
"273478050489998",2003,4,5705,2003,"West Coast                              ","Phybiz","Physcia                                 ",32,5,"biziana                                 ",218,"",2014-08-04,"489998","",,""
"273478051489998",2003,4,5710,2003,"West Coast                              ","Phydim","Physcia                                 ",9,1,"dimidiata                               ",218,"",2014-08-04,"489998","",,""
"273478052489998",2003,4,5721,2003,"West Coast                              ","Physem","Physcia                                 ",11,2,"leptalea                                ",218,"",2014-08-04,"489998","",,""
"273478053489998",2003,4,5723,2003,"West Coast                              ","Physte","Physcia                                 ",9,2,"stellaris                               ",218,"",2014-08-04,"489998","",,""
"273478054489998",2003,4,5724,2003,"West Coast                              ","Phyten","Physcia                                 ",35,6,"tenella                                 ",218,"",2014-08-04,"489998","",,""
"273478055489998",2003,4,5802,2003,"West Coast                              ","Pclmel","Physciella                              ",3,0,"melanchra                               ",218,"",2014-08-04,"489998","",,""
"273478056489998",2003,4,5900,2003,"West Coast                              ","Pho   ","Physconia                               ",3,0,"",218,"",2014-08-04,"489998","",,""
"273478057489998",2003,4,5903,2003,"West Coast                              ","Phoent","Physconia                               ",51,8,"enteroxantha                            ",218,"",2014-08-04,"489998","",,""
"273478058489998",2003,4,5906,2003,"West Coast                              ","Phoper","Physconia                               ",61,10,"perisidiosa                             ",218,"",2014-08-04,"489998","",,""
"273478059489998",2003,4,5907,2003,"West Coast                              ","Phoisi","Physconia                               ",22,4,"isidiigera                              ",218,"",2014-08-04,"489998","",,""
"273478060489998",2003,4,5910,2003,"West Coast                              ","Phoame","Physconia                               ",49,7,"americana                               ",218,"",2014-08-04,"489998","",,""
"273478061489998",2003,4,6101,2003,"West Coast                              ","Plagla","Platismatia                             ",185,31,"glauca                                  ",218,"",2014-08-04,"489998","",,""
"273478062489998",2003,4,6102,2003,"West Coast                              ","Plaher","Platismatia                             ",47,8,"herrei                                  ",218,"",2014-08-04,"489998","",,""
"273478063489998",2003,4,6103,2003,"West Coast                              ","Plalac","Platismatia                             ",3,0,"lacunosa                                ",218,"",2014-08-04,"489998","",,""
"273478064489998",2003,4,6104,2003,"West Coast                              ","Planor","Platismatia                             ",12,2,"norvegica                               ",218,"",2014-08-04,"489998","",,""
"273478065489998",2003,4,6105,2003,"West Coast                              ","Plaste","Platismatia                             ",50,9,"stenophylla                             ",218,"",2014-08-04,"489998","",,""
"273478066489998",2003,4,6202,2003,"West Coast                              ","Polmus","Polychidium                             ",3,0,"muscicola                               ",218,"",2014-08-04,"489998","",,""
"273478067489998",2003,4,6401,2003,"West Coast                              ","Pcyano","Pseudocyphellaria                       ",46,9,"anomala                                 ",218,"",2014-08-04,"489998","",,""
"273478068489998",2003,4,6402,2003,"West Coast                              ","Pcyant","Pseudocyphellaria                       ",43,7,"anthraspis                              ",218,"",2014-08-04,"489998","",,""
"273478069489998",2003,4,6404,2003,"West Coast                              ","Pcycro","Pseudocyphellaria                       ",3,0,"crocata                                 ",218,"",2014-08-04,"489998","",,""
"273478070489998",2003,4,6703,2003,"West Coast                              ","Punbor","Punctelia                               ",3,0,"borreri                                 ",218,"",2014-08-04,"489998","",,""
"273478071489998",2003,4,6706,2003,"West Coast                              ","Punper","Punctelia                               ",13,2,"perreticulata                           ",218,"",2014-08-04,"489998","",,""
"273478072489998",2003,4,6711,2003,"West Coast                              ","Punsub","Punctelia                               ",2,0,"subrudecta                              ",218,"",2014-08-04,"489998","",,""
"273478073489998",2003,4,6910,2003,"West Coast                              ","Ramdil","Ramalina                                ",23,4,"dilacerata                              ",218,"",2014-08-04,"489998","",,""
"273478074489998",2003,4,6912,2003,"West Coast                              ","Ramfar","Ramalina                                ",98,18,"farinacea                               ",218,"",2014-08-04,"489998","",,""
"273478075489998",2003,4,6922,2003,"West Coast                              ","Rammen","Ramalina                                ",3,0,"menziesii                               ",218,"",2014-08-04,"489998","",,""
"273478076489998",2003,4,6929,2003,"West Coast                              ","Ramroe","Ramalina                                ",7,1,"roesleri                                ",218,"",2014-08-04,"489998","",,""
"273478077489998",2003,4,6934,2003,"West Coast                              ","Ramsle","Ramalina                                ",6,1,"subleptocarpha                          ",218,"",2014-08-04,"489998","",,""
"273478078489998",2003,4,6937,2003,"West Coast                              ","Ramthr","Ramalina                                ",3,0,"thrausta                                ",218,"",2014-08-04,"489998","",,""
"273478079489998",2003,4,7402,2003,"West Coast                              ","Sphglo","Sphaerophorus                           ",46,9,"globosus                                ",218,"",2014-08-04,"489998","",,""
"273478080489998",2003,4,7502,2003,"West Coast                              ","Stiful","Sticta                                  ",5,1,"fuliginosa                              ",218,"",2014-08-04,"489998","",,""
"273478081489998",2003,4,7702,2003,"West Coast                              ","Telexi","Teloschistes                            ",4,1,"exilis                                  ",218,"",2014-08-04,"489998","",,""
"273478082489998",2003,4,8000,2003,"West Coast                              ","Usn   ","Usnea                                   ",11,3,"",218,"",2014-08-04,"489998","",,""
"43859014020004",2008,3,5801,2008,"Interior West                           ","Pclchl","Physciella                              ",62,16,"chloantha                               ",129,"",2012-06-19,"20004","",,""
"43859015020004",2008,3,5802,2008,"Interior West                           ","Pclmel","Physciella                              ",6,2,"melanchra                               ",129,"",2012-06-19,"20004","",,""
"43859016020004",2008,3,5803,2008,"Interior West                           ","Pclnep","Physciella                              ",6,2,"nepalensis                              ",129,"",2012-06-19,"20004","",,""
"43859017020004",2008,3,5901,2008,"Interior West                           ","Phodet","Physconia                               ",3,1,"detersa                                 ",129,"",2012-06-19,"20004","",,""
"43859018020004",2008,3,5903,2008,"Interior West                           ","Phoent","Physconia                               ",3,1,"enteroxantha                            ",129,"",2012-06-19,"20004","",,""
"43859019020004",2008,3,5906,2008,"Interior West                           ","Phoper","Physconia                               ",6,2,"perisidiosa                             ",129,"",2012-06-19,"20004","",,""
"43859020020004",2008,3,5909,2008,"Interior West                           ","Phoele","Physconia                               ",3,1,"elegantula                              ",129,"",2012-06-19,"20004","",,""
"43859021020004",2008,3,6101,2008,"Interior West                           ","Plagla","Platismatia                             ",46,12,"glauca                                  ",129,"",2012-06-19,"20004","",,""
"43859022020004",2008,3,6105,2008,"Interior West                           ","Plaste","Platismatia                             ",1,1,"stenophylla                             ",129,"",2012-06-19,"20004","",,""
"43859023020004",2008,3,6303,2008,"Interior West                           ","Pevint","Pseudevernia                            ",6,2,"intensa                                 ",129,"",2012-06-19,"20004","",,""
"43859024020004",2008,3,6704,2008,"Interior West                           ","Punhyp","Punctelia                               ",3,1,"hypoleucites                            ",129,"",2012-06-19,"20004","",,""
"43859025020004",2008,3,6706,2008,"Interior West                           ","Punper","Punctelia                               ",3,1,"perreticulata                           ",129,"",2012-06-19,"20004","",,""
"43859026020004",2008,3,6910,2008,"Interior West                           ","Ramdil","Ramalina                                ",3,1,"dilacerata                              ",129,"",2012-06-19,"20004","",,""
"43859027020004",2008,3,6912,2008,"Interior West                           ","Ramfar","Ramalina                                ",6,2,"farinacea                               ",129,"",2012-06-19,"20004","",,""
"43859028020004",2008,3,6927,2008,"Interior West                           ","Rampol","Ramalina                                ",3,1,"pollinaria                              ",129,"",2012-06-19,"20004","",,""
"43859029020004",2008,3,7402,2008,"Interior West                           ","Sphglo","Sphaerophorus                           ",1,1,"globosus                                ",129,"",2012-06-19,"20004","",,""
"43859030020004",2008,3,8000,2008,"Interior West                           ","Usn   ","Usnea                                   ",1,1,"",129,"",2012-06-19,"20004","",,""
"43859031020004",2008,3,8013,2008,"Interior West                           ","Usncav","Usnea                                   ",15,4,"cavernosa                               ",129,"",2012-06-19,"20004","",,""
"43859032020004",2008,3,8019,2008,"Interior West                           ","Usncor","Usnea                                   ",2,1,"cornuta                                 ",129,"",2012-06-19,"20004","",,""
"43859033020004",2008,3,8023,2008,"Interior West                           ","Usndip","Usnea                                   ",3,1,"diplotypus                              ",129,"",2012-06-19,"20004","",,""
"43859034020004",2008,3,8041,2008,"Interior West                           ","Usnhir","Usnea                                   ",93,27,"hirta                                   ",129,"",2012-06-19,"20004","",,""
"43859035020004",2008,3,8044,2008,"Interior West                           ","Usnlap","Usnea                                   ",89,27,"lapponica                               ",129,"",2012-06-19,"20004","",,""
"43859036020004",2008,3,8065,2008,"Interior West                           ","Usnsca","Usnea                                   ",3,1,"scabrata                                ",129,"",2012-06-19,"20004","",,""
"43859037020004",2008,3,8200,2008,"Interior West                           ","Xan   ","Xanthoria                               ",2,1,"",129,"",2012-06-19,"20004","",,""
"43859038020004",2008,3,8201,2008,"Interior West                           ","Xancan","Xanthoria                               ",7,3,"candelaria                              ",129,"",2012-06-19,"20004","",,""
"43859039020004",2008,3,8203,2008,"Interior West                           ","Xanfal","Xanthomendoza                           ",100,27,"fallax                                  ",129,"",2012-06-19,"20004","",,""
"43859040020004",2008,3,8207,2008,"Interior West                           ","Xanpol","Xanthoria                               ",16,5,"polycarpa                               ",129,"",2012-06-19,"20004","",,""
"43859041020004",2008,3,8210,2008,"Interior West                           ","Xanful","Xanthomendoza                           ",32,10,"fulva                                   ",129,"",2012-06-19,"20004","",,""
"43859042020004",2008,3,8214,2008,"Interior West                           ","Xanmon","Xanthomendoza                           ",150,42,"montana                                 ",129,"",2012-06-19,"20004","",,""
"43859043020004",2008,3,8219,2008,"Interior West                           ","Xangal","Xanthomendoza                           ",65,18,"galericulata                            ",129,"",2012-06-19,"20004","",,""
"43859044020004",2008,3,8301,2008,"Interior West                           ","Cndcon","Candelaria                              ",2,1,"concolor                                ",129,"",2012-06-19,"20004","",,""
"43859045020004",2008,3,8303,2008,"Interior West                           ","Cndpac","Candelaria                              ",32,9,"pacifica                                ",129,"",2012-06-19,"20004","",,""
"43859046020004",2008,3,8500,2008,"Interior West                           ","Rhi   ","Rhizoplaca                              ",3,1,"",129,"",2012-06-19,"20004","",,""
"43859047020004",2008,3,9008,2008,"Interior West                           ","Xpmmex","Xanthoparmelia                          ",3,1,"mexicana                                ",129,"",2012-06-19,"20004","",,""
"43858718020004",2009,3,3114,2009,"Interior West                           ","Hypocc","Hypogymnia                              ",25,6,"occidentalis                            ",135,"",2012-06-19,"20004","",,""
"43858719020004",2009,3,3116,2009,"Interior West                           ","Hypphy","Hypogymnia                              ",61,15,"physodes                                ",135,"",2012-06-19,"20004","",,""
"43858720020004",2009,3,3121,2009,"Interior West                           ","Hyptub","Hypogymnia                              ",42,10,"tubulosa                                ",135,"",2012-06-19,"20004","",,""
"43858721020004",2009,3,3207,2009,"Interior West                           ","Htrlae","Hypotrachyna                            ",2,1,"laevigata                               ",135,"",2012-06-19,"20004","",,""
"43858722020004",2009,3,3214,2009,"Interior West                           ","Htrpul","Hypotrachyna                            ",8,2,"pulvinata                               ",135,"",2012-06-19,"20004","",,""
"43858723020004",2009,3,3301,2009,"Interior West                           ","Imsale","Imshaugia                               ",3,1,"aleurites                               ",135,"",2012-06-19,"20004","",,""
"43858724020004",2009,3,3302,2009,"Interior West                           ","Imspla","Imshaugia                               ",7,2,"placorodia                              ",135,"",2012-06-19,"20004","",,""
"43858725020004",2009,3,3616,2009,"Interior West                           ","Lepfur","Leptogium                               ",6,1,"pseudofurfuraceum                       ",135,"",2012-06-19,"20004","",,""
"43858726020004",2009,3,3628,2009,"Interior West                           ","Lepmil","Leptogium                               ",1,1,"milligranum                             ",135,"",2012-06-19,"20004","",,""
"43858727020004",2009,3,3631,2009,"Interior West                           ","Lepsat","Leptogium                               ",3,1,"saturninum                              ",135,"",2012-06-19,"20004","",,""
"43858728020004",2009,3,3701,2009,"Interior West                           ","Letcol","Letharia                                ",38,9,"columbiana                              ",135,"",2012-06-19,"20004","",,""
"43858729020004",2009,3,3702,2009,"Interior West                           ","Letvul","Letharia                                ",95,25,"vulpina                                 ",135,"",2012-06-19,"20004","",,""
"43858730020004",2009,3,3905,2009,"Interior West                           ","Lobpul","Lobaria                                 ",1,1,"pulmonaria                              ",135,"",2012-06-19,"20004","",,""
"43858731020004",2009,3,4002,2009,"Interior West                           ","Melele","Melanohalea                             ",129,33,"elegantula                              ",135,"",2012-06-19,"20004","",,""
"43858732020004",2009,3,4004,2009,"Interior West                           ","Melexl","Melanohalea                             ",140,37,"exasperatula                            ",135,"",2012-06-19,"20004","",,""
"43858733020004",2009,3,4010,2009,"Interior West                           ","Melmul","Melanohalea                             ",3,1,"multispora                              ",135,"",2012-06-19,"20004","",,""
"43858734020004",2009,3,4016,2009,"Interior West                           ","Melsel","Melanohalea                             ",3,1,"subelegantula                           ",135,"",2012-06-19,"20004","",,""
"43858735020004",2009,3,4017,2009,"Interior West                           ","Melsol","Melanohalea                             ",227,56,"subolivacea                             ",135,"",2012-06-19,"20004","",,""
"43858736020004",2009,3,4408,2009,"Interior West                           ","Nepres","Nephroma                                ",1,1,"resupinatum                             ",135,"",2012-06-19,"20004","",,""
"43858737020004",2009,3,4551,2009,"Interior West                           ","Nodabb","Nodobryoria                             ",58,17,"abbreviata                              ",135,"",2012-06-19,"20004","",,""
"43858738020004",2009,3,4552,2009,"Interior West                           ","Nodore","Nodobryoria                             ",12,3,"oregana                                 ",135,"",2012-06-19,"20004","",,""
"43858739020004",2009,3,4800,2009,"Interior West                           ","Par   ","Parmelia                                ",3,1,"",135,"",2012-06-19,"20004","",,""
"43858740020004",2009,3,4802,2009,"Interior West                           ","Parhyg","Parmelia                                ",20,6,"hygrophila                              ",135,"",2012-06-19,"20004","",,""
"43858741020004",2009,3,4806,2009,"Interior West                           ","Parsul","Parmelia                                ",77,21,"sulcata                                 ",135,"",2012-06-19,"20004","",,""
"43858742020004",2009,3,5201,2009,"Interior West                           ","Popamb","Parmeliopsis                            ",81,21,"ambigua                                 ",135,"",2012-06-19,"20004","",,""
"43858743020004",2009,3,5202,2009,"Interior West                           ","Pophyp","Parmeliopsis                            ",48,14,"hyperopta                               ",135,"",2012-06-19,"20004","",,""
"43858744020004",2009,3,5501,2009,"Interior West                           ","Pelaph","Peltigera                               ",2,1,"aphthosa                                ",135,"",2012-06-19,"20004","",,""
"43858745020004",2009,3,5603,2009,"Interior West                           ","Phacil","Phaeophyscia                            ",27,7,"ciliata                                 ",135,"",2012-06-19,"20004","",,""
"43858746020004",2009,3,5605,2009,"Interior West                           ","Phahir","Phaeophyscia                            ",102,26,"hirsuta                                 ",135,"",2012-06-19,"20004","",,""
"43858747020004",2009,3,5607,2009,"Interior West                           ","Phahis","Phaeophyscia                            ",12,3,"hispidula                               ",135,"",2012-06-19,"20004","",,""
"43858748020004",2009,3,5611,2009,"Interior West                           ","Phanig","Phaeophyscia                            ",6,1,"nigricans                               ",135,"",2012-06-19,"20004","",,""
"43858749020004",2009,3,5612,2009,"Interior West                           ","Phaorb","Phaeophyscia                            ",6,1,"orbicularis                             ",135,"",2012-06-19,"20004","",,""
"43858750020004",2009,3,5700,2009,"Interior West                           ","Phy   ","Physcia                                 ",11,3,"",135,"",2012-06-19,"20004","",,""
"43858751020004",2009,3,5701,2009,"Interior West                           ","Phyads","Physcia                                 ",136,36,"adscendens                              ",135,"",2012-06-19,"20004","",,""
"43858752020004",2009,3,5702,2009,"Interior West                           ","Phyaip","Physcia                                 ",33,10,"aipolia                                 ",135,"",2012-06-19,"20004","",,""
"43858753020004",2009,3,5705,2009,"Interior West                           ","Phybiz","Physcia                                 ",126,32,"biziana                                 ",135,"",2012-06-19,"20004","",,""
"43858754020004",2009,3,5706,2009,"Interior West                           ","Phycae","Physcia                                 ",6,1,"caesia                                  ",135,"",2012-06-19,"20004","",,""
"43858755020004",2009,3,5707,2009,"Interior West                           ","Phycal","Physcia                                 ",3,1,"callosa                                 ",135,"",2012-06-19,"20004","",,""
"43858756020004",2009,3,5710,2009,"Interior West                           ","Phydim","Physcia                                 ",100,27,"dimidiata                               ",135,"",2012-06-19,"20004","",,""
"43858757020004",2009,3,5711,2009,"Interior West                           ","Phydub","Physcia                                 ",3,1,"dubia                                   ",135,"",2012-06-19,"20004","",,""
"43858758020004",2009,3,5723,2009,"Interior West                           ","Physte","Physcia                                 ",44,11,"stellaris                               ",135,"",2012-06-19,"20004","",,""
"43860110020004",2003,3,3102,2003,"Interior West                           ","Hypaus","Hypogymnia                              ",5,1,"austerodes                              ",195,"",2012-06-19,"20004","",,""
"43860111020004",2003,3,3103,2003,"Interior West                           ","Hypbit","Hypogymnia                              ",6,1,"bitteri                                 ",195,"",2012-06-19,"20004","",,""
"43860112020004",2003,3,3106,2003,"Interior West                           ","Hypfar","Hypogymnia                              ",5,1,"farinacea                               ",195,"",2012-06-19,"20004","",,""
"43860113020004",2003,3,3108,2003,"Interior West                           ","Hypims","Hypogymnia                              ",82,14,"imshaugii                               ",195,"",2012-06-19,"20004","",,""
"43860114020004",2003,3,3112,2003,"Interior West                           ","Hypmet","Hypogymnia                              ",9,2,"metaphysodes                            ",195,"",2012-06-19,"20004","",,""
"43860115020004",2003,3,3114,2003,"Interior West                           ","Hypocc","Hypogymnia                              ",14,3,"occidentalis                            ",195,"",2012-06-19,"20004","",,""
"43860116020004",2003,3,3116,2003,"Interior West                           ","Hypphy","Hypogymnia                              ",53,10,"physodes                                ",195,"",2012-06-19,"20004","",,""
"43860117020004",2003,3,3119,2003,"Interior West                           ","Hyprug","Hypogymnia                              ",2,1,"rugosa                                  ",195,"",2012-06-19,"20004","",,""
"43860118020004",2003,3,3121,2003,"Interior West                           ","Hyptub","Hypogymnia                              ",28,6,"tubulosa                                ",195,"",2012-06-19,"20004","",,""
"43860119020004",2003,3,3301,2003,"Interior West                           ","Imsale","Imshaugia                               ",6,1,"aleurites                               ",195,"",2012-06-19,"20004","",,""
"43860120020004",2003,3,3302,2003,"Interior West                           ","Imspla","Imshaugia                               ",10,2,"placorodia                              ",195,"",2012-06-19,"20004","",,""
"43860121020004",2003,3,3616,2003,"Interior West                           ","Lepfur","Leptogium                               ",24,5,"pseudofurfuraceum                       ",195,"",2012-06-19,"20004","",,""
"43860122020004",2003,3,3631,2003,"Interior West                           ","Lepsat","Leptogium                               ",6,1,"saturninum                              ",195,"",2012-06-19,"20004","",,""
"43860123020004",2003,3,3701,2003,"Interior West                           ","Letcol","Letharia                                ",53,9,"columbiana                              ",195,"",2012-06-19,"20004","",,""
"43860124020004",2003,3,3702,2003,"Interior West                           ","Letvul","Letharia                                ",100,19,"vulpina                                 ",195,"",2012-06-19,"20004","",,""
"43860125020004",2003,3,4000,2003,"Interior West                           ","Mel   ","Melanelia                               ",7,2,"",195,"",2012-06-19,"20004","",,""
"43860126020004",2003,3,4002,2003,"Interior West                           ","Melele","Melanohalea                             ",70,14,"elegantula                              ",195,"",2012-06-19,"20004","",,""
"43860127020004",2003,3,4004,2003,"Interior West                           ","Melexl","Melanohalea                             ",131,24,"exasperatula                            ",195,"",2012-06-19,"20004","",,""
"43860128020004",2003,3,4006,2003,"Interior West                           ","Melgla","Melanelixia                             ",3,1,"glabra                                  ",195,"",2012-06-19,"20004","",,""
"43860129020004",2003,3,4010,2003,"Interior West                           ","Melmul","Melanohalea                             ",2,1,"multispora                              ",195,"",2012-06-19,"20004","",,""
"43860130020004",2003,3,4015,2003,"Interior West                           ","Melsub","Melanelixia                             ",6,1,"subaurifera                             ",195,"",2012-06-19,"20004","",,""
"43860131020004",2003,3,4017,2003,"Interior West                           ","Melsol","Melanohalea                             ",196,35,"subolivacea                             ",195,"",2012-06-19,"20004","",,""
"43860132020004",2003,3,4551,2003,"Interior West                           ","Nodabb","Nodobryoria                             ",54,11,"abbreviata                              ",195,"",2012-06-19,"20004","",,""
"43860133020004",2003,3,4552,2003,"Interior West                           ","Nodore","Nodobryoria                             ",19,3,"oregana                                 ",195,"",2012-06-19,"20004","",,""
"43860134020004",2003,3,4800,2003,"Interior West                           ","Par   ","Parmelia                                ",2,1,"",195,"",2012-06-19,"20004","",,""
"43860135020004",2003,3,4802,2003,"Interior West                           ","Parhyg","Parmelia                                ",10,2,"hygrophila                              ",195,"",2012-06-19,"20004","",,""
"43860136020004",2003,3,4806,2003,"Interior West                           ","Parsul","Parmelia                                ",86,16,"sulcata                                 ",195,"",2012-06-19,"20004","",,""
"43860137020004",2003,3,5201,2003,"Interior West                           ","Popamb","Parmeliopsis                            ",99,18,"ambigua                                 ",195,"",2012-06-19,"20004","",,""
"43860138020004",2003,3,5202,2003,"Interior West                           ","Pophyp","Parmeliopsis                            ",34,7,"hyperopta                               ",195,"",2012-06-19,"20004","",,""
"43860139020004",2003,3,5600,2003,"Interior West                           ","Pha   ","Phaeophyscia                            ",3,1,"",195,"",2012-06-19,"20004","",,""
"43860140020004",2003,3,5603,2003,"Interior West                           ","Phacil","Phaeophyscia                            ",15,3,"ciliata                                 ",195,"",2012-06-19,"20004","",,""
"43860141020004",2003,3,5605,2003,"Interior West                           ","Phahir","Phaeophyscia                            ",78,14,"hirsuta                                 ",195,"",2012-06-19,"20004","",,""
"43860142020004",2003,3,5607,2003,"Interior West                           ","Phahis","Phaeophyscia                            ",12,2,"hispidula                               ",195,"",2012-06-19,"20004","",,""
"43860143020004",2003,3,5611,2003,"Interior West                           ","Phanig","Phaeophyscia                            ",9,2,"nigricans                               ",195,"",2012-06-19,"20004","",,""
