"STATECD","VALUE","MEANING","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
16,1,"Northern","",2005-02-24,"333","",2009-01-27,"440"
16,2,"Southwestern","",2005-02-24,"333","",2009-01-27,"440"
16,3,"Southeastern","",2005-02-24,"333","",2009-01-27,"440"
17,1,"Southern","",2005-02-24,"333","",2009-01-27,"440"
17,2,"Claypan","",2005-02-24,"333","",2009-01-27,"440"
17,3,"Prairie","",2005-02-24,"333","",2009-01-27,"440"
18,1,"Lower Wabash","",2005-02-24,"333","",2009-01-27,"440"
18,2,"Knobs","",2005-02-24,"333","",2009-01-27,"440"
18,3,"Upland Flats","",2005-02-24,"333","",2009-01-27,"440"
18,4,"Northern","",2005-02-24,"333","",2009-01-27,"440"
19,1,"Northeastern","",2005-02-24,"333","",2009-01-27,"440"
19,2,"Southeastern","",2005-02-24,"333","",2009-01-27,"440"
19,3,"Southwestern","",2005-02-24,"333","",2009-01-27,"440"
19,4,"Northwestern","",2005-02-24,"333","",2009-01-27,"440"
20,1,"Northeastern","",2005-02-24,"333","",2009-01-27,"440"
20,2,"Southeastern","",2005-02-24,"333","",2009-01-27,"440"
20,3,"Western","",2005-02-24,"333","",2009-01-27,"440"
21,1,"Eastern","",2005-02-24,"333","",2009-01-27,"440"
21,2,"Northern Cumberland","",2005-02-24,"333","",2009-01-27,"440"
21,3,"Southern Cumberland","",2005-02-24,"333","",2009-01-27,"440"
21,4,"Bluegrass","",2005-02-24,"333","",2009-01-27,"440"
21,5,"Pennyroyal","",2005-02-24,"333","",2009-01-27,"440"
21,6,"Western Coalfield","",2005-02-24,"333","",2009-01-27,"440"
21,7,"Western","",2005-02-24,"333","",2009-01-27,"440"
22,1,"North Delta","",2005-02-24,"333","",2009-01-27,"440"
22,2,"South Delta","",2005-02-24,"333","",2009-01-27,"440"
22,3,"Southwest","",2005-02-24,"333","",2009-01-27,"440"
22,4,"Southeast","",2005-02-24,"333","",2009-01-27,"440"
22,5,"Northwest","",2005-02-24,"333","",2009-01-27,"440"
23,1,"Washington","",2005-02-24,"333","",2009-01-27,"440"
23,2,"Aroostook","",2005-02-24,"333","",2009-01-27,"440"
23,3,"Penobscot","",2005-02-24,"333","",2009-01-27,"440"
23,4,"Hancock","",2005-02-24,"333","",2009-01-27,"440"
23,5,"Piscataquis","",2005-02-24,"333","",2009-01-27,"440"
23,6,"Capitol Region","",2005-02-24,"333","",2009-01-27,"440"
23,7,"Somerset","",2005-02-24,"333","",2009-01-27,"440"
23,8,"Casco Bay","",2005-02-24,"333","",2009-01-27,"440"
23,9,"Western Maine","",2005-02-24,"333","",2009-01-27,"440"
24,2,"North Central","",2005-02-24,"333","",2009-01-27,"440"
24,3,"Southern","",2005-02-24,"333","",2009-01-27,"440"
24,4,"Lower Eastern Shore","",2005-02-24,"333","",2009-01-27,"440"
24,5,"Western","",2005-02-24,"333","",2009-01-27,"440"
25,1,"State","",2005-02-24,"333","",2009-01-27,"440"
26,1,"Eastern Upper Peninsula","",2005-02-24,"333","",2009-01-27,"440"
26,2,"Western Upper Peninsula","",2005-02-24,"333","",2009-01-27,"440"
26,3,"Northern Lower Peninsula","",2005-02-24,"333","",2009-01-27,"440"
26,4,"Southern Lower Peninsula","",2005-02-24,"333","",2009-01-27,"440"
27,1,"Aspen-Birch","",2005-02-24,"333","",2009-01-27,"440"
27,2,"Northern Pine","",2005-02-24,"333","",2009-01-27,"440"
27,3,"Central Hardwood","",2005-02-24,"333","",2009-01-27,"440"
27,4,"Prairie","",2005-02-24,"333","",2009-01-27,"440"
28,1,"Delta","",2005-02-24,"333","",2009-01-27,"440"
28,2,"North","",2005-02-24,"333","",2009-01-27,"440"
28,3,"Central","",2005-02-24,"333","",2009-01-27,"440"
28,4,"South","",2005-02-24,"333","",2009-01-27,"440"
28,5,"Southwest","",2005-02-24,"333","",2009-01-27,"440"
29,1,"Eastern Ozarks","",2005-02-24,"333","",2009-01-27,"440"
29,2,"Southwestern Ozarks","",2005-02-24,"333","",2009-01-27,"440"
29,3,"Northwestern Ozarks","",2005-02-24,"333","",2009-01-27,"440"
29,4,"Prairie","",2005-02-24,"333","",2009-01-27,"440"
29,5,"Riverborder","",2005-02-24,"333","",2009-01-27,"440"
30,1,"Northwestern","",2005-02-24,"333","",2009-01-27,"440"
30,2,"Eastern","",2005-02-24,"333","",2009-01-27,"440"
30,3,"Western","",2005-02-24,"333","",2009-01-27,"440"
30,4,"West Central","",2005-02-24,"333","",2009-01-27,"440"
30,5,"Southwestern","",2005-02-24,"333","",2009-01-27,"440"
31,1,"Eastern","",2005-02-24,"333","",2009-01-27,"440"
31,2,"Western","",2005-02-24,"333","",2009-01-27,"440"
32,1,"Nevada","",2005-02-24,"333","",2009-01-27,"440"
33,2,"Northern","",2005-02-24,"333","",2009-01-27,"440"
33,3,"Southern","",2005-02-24,"333","",2009-01-27,"440"
34,1,"State","",2005-02-24,"333","",2009-01-27,"440"
35,1,"Northwestern","",2005-02-24,"333","",2009-01-27,"440"
35,2,"Northeastern","",2005-02-24,"333","",2009-01-27,"440"
35,3,"Southwestern","",2005-02-24,"333","",2009-01-27,"440"
35,4,"Southeastern","",2005-02-24,"333","",2009-01-27,"440"
36,1,"Adirondack","",2005-02-24,"333","",2009-01-27,"440"
36,2,"Lake Plain","",2005-02-24,"333","",2009-01-27,"440"
36,3,"Western Adirondack","",2005-02-24,"333","",2009-01-27,"440"
36,4,"Eastern Adirondack","",2005-02-24,"333","",2009-01-27,"440"
36,5,"Southwest Highlands","",2005-02-24,"333","",2009-01-27,"440"
36,6,"South-Central Highlands","",2005-02-24,"333","",2009-01-27,"440"
36,7,"Capitol District","",2005-02-24,"333","",2009-01-27,"440"
36,8,"Catskill-Lower Hudson","",2005-02-24,"333","",2009-01-27,"440"
37,1,"Southern Coastal Plain","",2005-02-24,"333","",2009-01-27,"440"
37,2,"Northern Coastal Plain","",2005-02-24,"333","",2009-01-27,"440"
37,3,"Piedmont","",2005-02-24,"333","",2009-01-27,"440"
37,4,"Mountains","",2005-02-24,"333","",2009-01-27,"440"
38,1,"Eastern","",2005-02-24,"333","",2009-01-27,"440"
39,1,"South-Central","",2005-02-24,"333","",2009-01-27,"440"
39,2,"Southeastern","",2005-02-24,"333","",2009-01-27,"440"
39,3,"East-Central","",2005-02-24,"333","",2009-01-27,"440"
39,4,"Northeastern","",2005-02-24,"333","",2009-01-27,"440"
39,5,"Southwestern","",2005-02-24,"333","",2009-01-27,"440"
39,6,"Northwestern","",2005-02-24,"333","",2009-01-27,"440"
40,1,"Southeast","",2005-02-24,"333","",2009-01-27,"440"
40,2,"Northeast","",2005-02-24,"333","",2009-01-27,"440"
40,3,"North Central","",2008-01-30,"333","",2011-07-21,"333"
40,4,"South Central","",2008-01-30,"333","",2011-07-21,"333"
40,5,"Southwest","",2008-01-30,"333","",2009-01-27,"440"
40,6,"High Plains","",2008-01-30,"333","",2009-01-27,"440"
40,7,"Great Plains","",2008-01-30,"333","",2009-01-27,"440"
41,0,"Northwest","",2005-02-24,"333","",2009-01-27,"440"
41,1,"West Central","",2005-02-24,"333","",2009-01-27,"440"
41,2,"Southwest","",2005-02-24,"333","",2009-01-27,"440"
41,3,"Central","",2005-02-24,"333","",2009-01-27,"440"
41,4,"Blue Mountains","",2005-02-24,"333","",2009-01-27,"440"
42,0,"South Central","",2005-02-24,"333","",2009-01-27,"440"
42,5,"Western","",2005-02-24,"333","",2009-01-27,"440"
42,6,"North Central/Allegheny","",2005-02-24,"333","",2009-01-27,"440"
42,7,"Southwestern","",2005-02-24,"333","",2009-01-27,"440"
42,8,"Northeastern/Pocono","",2005-02-24,"333","",2009-01-27,"440"
42,9,"Southeastern","",2005-02-24,"333","",2009-01-27,"440"
44,1,"State","",2005-02-24,"333","",2009-01-27,"440"
45,1,"Southern Coastal Plain","",2005-02-24,"333","",2009-01-27,"440"
45,2,"Northern Coastal Plain","",2005-02-24,"333","",2009-01-27,"440"
45,3,"Piedmont","",2005-02-24,"333","",2009-01-27,"440"
46,1,"Eastern","",2005-02-24,"333","",2009-01-27,"440"
46,2,"Western","",2005-02-24,"333","",2009-01-27,"440"
47,1,"West","",2005-02-24,"333","",2009-01-27,"440"
47,2,"West Central","",2005-02-24,"333","",2009-01-27,"440"
47,3,"Central","",2005-02-24,"333","",2009-01-27,"440"
47,4,"Plateau","",2005-02-24,"333","",2009-01-27,"440"
47,5,"East","",2005-02-24,"333","",2009-01-27,"440"
48,1,"Southeast","",2005-02-24,"333","",2009-01-27,"440"
48,2,"Northeast","",2005-02-24,"333","",2009-01-27,"440"
48,3,"North Central","",2008-01-30,"333","",2011-07-21,"333"
48,4,"South","",2008-01-30,"333","",2009-01-27,"440"
48,5,"West Central","",2008-01-30,"333","",2011-07-21,"333"
48,6,"Northwest","",2008-01-30,"333","",2009-01-27,"440"
48,7,"West","",2008-01-30,"333","",2009-01-27,"440"
49,1,"Northern","",2005-02-24,"333","",2009-01-27,"440"
49,2,"Uinta","",2005-02-24,"333","",2009-01-27,"440"
49,3,"Central","",2005-02-24,"333","",2009-01-27,"440"
49,4,"Eastern","",2005-02-24,"333","",2009-01-27,"440"
49,5,"Southwestern","",2005-02-24,"333","",2009-01-27,"440"
50,2,"Northern","",2005-02-24,"333","",2009-01-27,"440"
50,3,"Southern","",2005-02-24,"333","",2009-01-27,"440"
51,1,"Coastal Plain","",2005-02-24,"333","",2009-01-27,"440"
51,2,"Southern Piedmont","",2005-02-24,"333","",2009-01-27,"440"
51,3,"Northern Piedmont","",2005-02-24,"333","",2009-01-27,"440"
51,4,"Northern Mountains","",2005-02-24,"333","",2009-01-27,"440"
51,5,"Southern Mountains","",2005-02-24,"333","",2009-01-27,"440"
53,5,"Puget Sound","",2005-02-24,"333","",2009-01-27,"440"
53,6,"Olympic Peninsula","",2005-02-24,"333","",2009-01-27,"440"
53,7,"Southwest","",2005-02-24,"333","",2009-01-27,"440"
53,8,"Central","",2005-02-24,"333","",2009-01-27,"440"
53,9,"Inland Empire","",2005-02-24,"333","",2009-01-27,"440"
54,2,"Northeastern","",2005-02-24,"333","",2009-01-27,"440"
54,3,"Southern","",2005-02-24,"333","",2009-01-27,"440"
54,4,"Northwestern","",2005-02-24,"333","",2009-01-27,"440"
55,1,"Northeastern","",2005-02-24,"333","",2009-01-27,"440"
55,2,"Northwestern","",2005-02-24,"333","",2009-01-27,"440"
55,3,"Central","",2005-02-24,"333","",2009-01-27,"440"
55,4,"Southwestern","",2005-02-24,"333","",2009-01-27,"440"
55,5,"Southeastern","",2005-02-24,"333","",2009-01-27,"440"
56,1,"Western","",2005-02-24,"333","",2009-01-27,"440"
56,2,"Central and Southeastern","",2005-02-24,"333","",2009-01-27,"440"
56,3,"Northeastern","",2005-02-24,"333","",2009-01-27,"440"
60,1,"American Samoa","",2013-10-30,"440","",,""
64,1,"Federated States of Micronesia","",2013-10-30,"440","",,""
66,1,"Guam","",2013-10-30,"440","",,""
68,1,"Marshall Islands","",2013-10-30,"440","",,""
69,1,"Northern Mariana Islands","",2013-10-30,"440","",,""
70,1,"Palau","",2013-10-30,"440","",,""
72,1,"Mainland Puerto Rico","",2005-02-24,"333","",2012-06-21,"440"
72,2,"Vieques","",2009-06-17,"440","",2012-06-21,"440"
72,3,"Culebra","",2009-06-17,"440","",2012-06-21,"440"
78,1,"St. Croix","",2008-10-29,"440","",2009-06-17,"440"
78,2,"St. John","",2009-06-17,"440","",,""
78,3,"St. Thomas","",2009-06-17,"440","",,""
