"CITATION_NBR","CITATION","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
24,"Assigned genus average value from table 1 in Miles, P.D.; Smith, W.B. 2008. Specific gravity and other properties of wood and bark for 156 tree species found in North America. Res. Pap. NRS-xxx. Newtown Square, PA: USDA Forest Service Northern Research Station. xxp. ","",2008-12-03,"10661","",,""
25,"Assigned genus average based on average sp.gr. of other species in genus that were in table 1 of Miles, P.D.; Smith, W.B. 2008. Specific gravity and other properties of wood and bark for 156 tree species found in North America. Res. Pap. NRS-xxx. Newtown Square, PA: USDA Forest Service Northern Research Station. xxp. ","",2008-12-03,"10661","",,""
26,"Assigned Softwood/Hardwood average in table 1 of Miles, P.D.; Smith, W.B. 2008. Specific gravity and other properties of wood and bark for 156 tree species found in North America. Res. Pap. NRS-xxx. Newtown Square, PA: USDA Forest Service Northern Research Station. xxp. ","",2008-12-03,"10661","",,""
27,"Smith, J.H.G.; Kozak, A. 1967. Thickness and percentage of bark of the commercial trees of British Columbia. Vancouver, BC: Faculty of Forestry, University of British Columbia. 33p.","",2012-10-26,"10661","",,""
28,"Adapted from McCormack (1955) using supplemental data from Forbes (1956) and Koch (1971)","",2012-10-26,"10661","",,""
29,"McCormack, J.F. 1955. An allowance for bark increment in computing tree diameter growth for southeastern species. Stn. Paper SE-60. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station.","",2012-10-26,"10661","",,""
30,"Wilson, P.L.; Funck, W.J.; Avery, R.B. 1987. Fuelwood characteristics of northwestern conifers and hardwoods. Res. Bul. 60. Corvallis, OR: Oregon State Univ. 42 p.","",2012-10-26,"10661","",,""
32,"Smith, W.B. 1991. Assessing removals for North Central forest inventories. Res. Pap. NC-299. St. Paul, MN: U.S. Dept. of Agriculture, Forest Service, North Central Research Station. 48 p.","",2012-10-26,"10661","",,""
33,"USDA Forest Service. 1959. Ed. No. 7. Volume tables, converting factors and other information applicable to timber in the South. Atlanta, GA: U.S. Department of Agriculture, Forest Service, Region 8, State and Private Forestry.","",2012-10-26,"10661","",,""
34,"Hilt, D.E.; Rast, E.D.; Bailey, H.J. 1983. Predicting diameters inside bark for 10 important hardwood species. Res. Pap. NE-531. Broomall, PA: U.S. Department of Agriculture, Forest Service, Northeastern Forest Experiment Station. 7 p.","",2012-10-26,"10661","",,""
35,"Gevorkiantz, S.R.; Olsen, L.P. 1955. Composite volume tables for timber and their application in the Lake States. USDA Tech. Bull. No. 1104. Washington, DC: U.S. Department of Agriculture. 51 p.","",2012-10-26,"10661","",,""
36,"Clark, A.; Phillips, D.R.; Frederick, D.J. 1985. Weight, volume, and physical properties of major hardwood species in the Gulf and Atlantic coastal plains. Res. Pap. SE-250. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station. 66 p.","",2012-10-26,"10661","",,""
