"CN","HABTYPCD","PUB_CD","SCIENTIFIC_NAME","COMMON_NAME","VALID","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"3723591010690","CMF3","639","TSME/PYROL","mountain hemlock/wintergreen","Y","",2004-10-19,"10690","",,""
"3723592010690","CMFC","639","TSME/2FORB","mountain hemlock/forb (cool)","Y","",2004-10-19,"10690","",,""
"3723593010690","CMG0","639","TSME/2SHRUB","mountain hemlock/shrub","Y","",2004-10-19,"10690","",,""
"3723594010690","CMG1","639","TSME/CARU","mountain hemlock/pinegrass","Y","",2004-10-19,"10690","",,""
"3723595010690","CLS521","639","PICO/SHCA","lodgepole pine/russet buffaloberry","Y","",2004-10-19,"10690","",,""
"3723596010690","00402","201","PIEN/CALE4","Engelmann spruce/white marsh-marigold","Y","",2004-10-19,"10690","",,""
"3723597010690","00403","201","PIEN/CADI6","Engelmann spruce/softleaf sedge","Y","",2004-10-19,"10690","",,""
"3723598010690","00405","201","PIEN-PIPU/GATR3","Engelmann spruce-blue spruce/fragrant bedstraw","Y","",2004-10-19,"10690","",,""
"3723599010690","00406","201","PIEN/2MOSS","Engelmann spruce/moss","Y","",2004-10-19,"10690","",,""
"3723600010690","00407","201","PIEN/JUCO6","Engelmann spruce/common juniper","Y","",2004-10-19,"10690","",,""
"3723601010690","00408","201","PIEN/LIBO3","Engelmann spruce/twinflower","Y","",2004-10-19,"10690","",,""
"3723602010690","00409","201","PIEN/PHMA5","Engelmann spruce/mallow ninebark","Y","",2004-10-19,"10690","",,""
"3723603010690","00413","201","PIEN/TRDA2","Engelmann spruce/alpine clover","Y","",2004-10-19,"10690","",,""
"3723604010690","00414","201","PIEN/VASC","Engelmann spruce/grouse whortleberry","Y","",2004-10-19,"10690","",,""
"3723605010690","004140","201","PIEN/VASC-VASC","Engelmann spruce/grouse whortleberry-grouse whortleberry","Y","",2004-10-19,"10690","",,""
"3723606010690","004141","201","PIEN/VASC/POBI6","Engelmann spruce/grouse whortleberry/American bistort","Y","",2004-10-19,"10690","",,""
"3723607010690","004142","201","PIEN/VASC/LUAR3","Engelmann spruce/grouse whortleberry/silvery lupine","Y","",2004-10-19,"10690","",,""
"3723608010690","004145","201","PIEN/VASC/POPU3","Engelmann spruce/grouse whortleberry/Jacob's-ladder","Y","",2004-10-19,"10690","",,""
"3723609010690","00415","201","PIEN/VAMY2","Engelmann spruce/whortleberry","Y","",2004-10-19,"10690","",,""
"3723610010690","004150","201","PIEN/VAMY2-VAMY2","Engelmann spruce/whortleberry-whortleberry","Y","",2004-10-19,"10690","",,""
"3723611010690","004151","201","PIEN/VAMY2/POPU3","Engelmann spruce/whortleberry/Jacob's-ladder","Y","",2004-10-19,"10690","",,""
"3723612010690","00416","201","PIEN/FETH","Engelmann spruce/Thurber's fescue","Y","",2004-10-19,"10690","",,""
"3723613010690","00417","201","PIEN-PSME/JUCO6","Engelmann spruce-Douglas-fir/common juniper","Y","",2004-10-19,"10690","",,""
"3723614010690","00418","201","PIEN/VACA13","Engelmann spruce/dwarf bilberry","Y","",2004-10-19,"10690","",,""
"3723615010690","005","201","PIGL","white spruce series","Y","",2004-10-19,"10690","",,""
"3723616010690","00501","201","PIGL/CAPE11","white spruce/Peck's sedge","Y","",2004-10-19,"10690","",,""
"3723617010690","00502","201","PIGL/JUCO6","white spruce/common juniper","Y","",2004-10-19,"10690","",,""
"3723618010690","00503","201","PIGL/LIBO3","white spruce/twinflower","Y","",2004-10-19,"10690","",,""
"3723619010690","005030","201","PIGL/LIBO3-LIBO3","white spruce/twinflower-twinflower","Y","",2004-10-19,"10690","",,""
"3723620010690","005031","201","PIGL/LIBO3-VASC","white spruce/twinflower-grouse whortleberry","Y","",2004-10-19,"10690","",,""
"3723621010690","005032","201","PIGL/LIBO3-SPBE2","white spruce/twinflower-white spirea","Y","",2004-10-19,"10690","",,""
"3723622010690","006","201","PIPU","bluespruce series","Y","",2004-10-19,"10690","",,""
"3723623010690","00601","201","PIPU/AMAL2-COSES","blue spruce/Saskatoon serviceberry-redosier dogwood","Y","",2004-10-19,"10690","",,""
"3723624010690","006010","201","PIPU/AMAL2-COSES/AMAL2","blue spruce/Saskatoon serviceberry-redosier dogwood/Saskatoon serviceberry","Y","",2004-10-19,"10690","",,""
"3723625010690","006011","201","PIPU/AMAL2-COSES/COSES","blue spruce/Saskatoon serviceberry-redosier dogwood/redosier dogwood","Y","",2004-10-19,"10690","",,""
"3723626010690","00602","201","PIPU/ARCO9","blue spruce/heartleaf arnica","Y","",2004-10-19,"10690","",,""
"3723627010690","00603","201","PIPU/POA","blue spruce/bluegrass","Y","",2004-10-19,"10690","",,""
"3723628010690","00604","201","PIPU-PSME/LIBO3","blue spruce-Douglas-fir/twinflower","Y","",2004-10-19,"10690","",,""
"3723629010690","006040","201","PIPU-PSME/LIBO3-LIBO3","blue spruce-Douglas-fir/twinflower-twinflower","Y","",2004-10-19,"10690","",,""
"3723630010690","006043","201","PIPU-PSME/LIBO3-JUCO6","blue spruce-Douglas-fir/twinflower-common juniper","Y","",2004-10-19,"10690","",,""
"3723631010690","00605","201","PIPU/ALINT","blue spruce/thinleaf alder","Y","",2004-10-19,"10690","",,""
"3723632010690","00606","201","PIPU-PSME/CAFO3","blue spruce-Douglas-fir/dryspike sedge","Y","",2004-10-19,"10690","",,""
"3723633010690","00607","201","PIPU-PSME/EREX4","blue spruce-Douglas-fir/sprucefir fleabane","Y","",2004-10-19,"10690","",,""
"3723634010690","00401","201","PIEN/ARCO9","Engelmann spruce/heartleaf arnica","Y","",2004-10-19,"10690","",,""
"3723635010690","501","111","THPL","western red cedar","Y","",2004-10-19,"10690","",,""
"3723636010690","502","111","TSHE","western Hemlock","Y","",2004-10-19,"10690","",,""
"3723637010690","505","111","ABGR/SPBE2","grand fir/white spirea","Y","",2004-10-19,"10690","",,""
"3723638010690","506","111","ABGR/PHMA5","grand fir/mallow ninebark","Y","",2004-10-19,"10690","",,""
"3723639010690","507","111","ABGR/PHMA5/COOC","grand fir/mallow ninebark/Idaho goldthread","Y","",2004-10-19,"10690","",,""
"3723640010690","508","111","ABGR/PHMA5-PHMA5","grand fir/mallow ninebark-mallow ninebark","Y","",2004-10-19,"10690","",,""
"3723641010690","510","111","ABGR/XETE","grand fir/common beargrass","Y","",2004-10-19,"10690","",,""
"3723642010690","511","111","ABGR/XETE-COOC","grand fir/common beargrass-Idaho goldthread","Y","",2004-10-19,"10690","",,""
"3723643010690","512","111","ABGR/XETE-VAME","grand fir/common beargrass-thinleaf huckleberry","Y","",2004-10-19,"10690","",,""
"3723644010690","515","111","ABGR/VAME","grand fir/thinleaf huckleberry","Y","",2004-10-19,"10690","",,""
"3723645010690","516","111","ABGR/ASCA2","grand fir/British Columbia wildginger","Y","",2004-10-19,"10690","",,""
"3723646010690","517","111","ABGR/ASCA2-ASCA2","grand fir/British Columbia wildginger-British Columbia wildginger","Y","",2004-10-19,"10690","",,""
"3723647010690","518","111","ABGR/ASCA2-MEFE","grand fir/British Columbia wildginger-rusty menziesia","Y","",2004-10-19,"10690","",,""
"3723648010690","519","111","ABGR/ASCA2-TABR2","grand fir/British Columbia wildginger-Pacific yew","Y","",2004-10-19,"10690","",,""
"3723649010690","520","111","ABGR/CLUN2","grand fir/bride's bonnet","Y","",2004-10-19,"10690","",,""
"3723650010690","521","111","ABGR/CLUN2-CLUN2","grand fir/bride's bonnet-bride's bonnet","Y","",2004-10-19,"10690","",,""
"3723651010690","522","111","ABGR/CLUN2-ARNU2","grand fir/bride's bonnet-wild sarsaparilla","Y","",2004-10-19,"10690","",,""
"3723652010690","523","111","ABGR/CLUN2-XETE","grand fir/bride's bonnet-common beargrass","Y","",2004-10-19,"10690","",,""
"3723653010690","524","111","ABGR/CLUN2-PHMA5","grand fir/bride's bonnet-mallow ninebark","Y","",2004-10-19,"10690","",,""
"3723654010690","525","111","ABGR/CLUN2-MEFE","grand fir/bride's bonnet-rusty menziesia","Y","",2004-10-19,"10690","",,""
"3723655010690","526","111","ABGR/CLUN2-TABR2","grand fir/bride's bonnet-Pacific yew","Y","",2004-10-19,"10690","",,""
"3723656010690","529","111","ABGR/SETR","grand fir/arrowleaf ragwort","Y","",2004-10-19,"10690","",,""
"3723657010690","530","111","THPL/CLUN2","western red cedar/bride's bonnet","Y","",2004-10-19,"10690","",,""
"3723658010690","531","111","THPL/CLUN2-CLUN2","western red cedar/bride's bonnet-bride's bonnet","Y","",2004-10-19,"10690","",,""
"3723659010690","532","111","THPL/CLUN2-ARNU2","western red cedar/bride's bonnet-wild sarsparilla","Y","",2004-10-19,"10690","",,""
"3723660010690","533","111","THPL/CLUN2-MEFE","western red cedar/bride's bonnet-rusty menziesia","Y","",2004-10-19,"10690","",,""
"3723661010690","534","111","THPL/CLUN2-XETE","western red cedar/bride's bonnet-common beargrass","Y","",2004-10-19,"10690","",,""
"3723662010690","535","111","THPL/CLUN2-TABR2","western red cedar/bride's bonnet-Pacific yew","Y","",2004-10-19,"10690","",,""
"3723663010690","540","111","THPL/ATFI","western red cedar/common ladyfern","Y","",2004-10-19,"10690","",,""
"3723664010690","541","111","THPL/ATFI-ADPE","western red cedar/common ladyfern-northern maidenhair","Y","",2004-10-19,"10690","",,""
"3723665010690","500","111","ABGR","grand fir","Y","",2004-10-19,"10690","",,""
"3723666010690","542","111","THPL/ATFI-ATFI","western red cedar/common ladyfern-common ladyfern","Y","",2004-10-19,"10690","",,""
"3723667010690","545","111","THPL/ASCA2","western red cedar/British Columbia wildginger","Y","",2004-10-19,"10690","",,""
"3723668010690","546","111","THPL/ASCA2-ASCA2","western red cedar/British Columbia wildginger-British Columbia wildginger","Y","",2004-10-19,"10690","",,""
"3723669010690","547","111","THPL/ASCA2-MEFE","western red cedar/British Columbia wildginger-rusty menziesia","Y","",2004-10-19,"10690","",,""
"3723670010690","548","111","THPL/ASCA2-TABR2","western red cedar/British Columbia wildginger-Pacific yew","Y","",2004-10-19,"10690","",,""
"3723671010690","550","111","THPL/OPHO","western red cedar/devilsclub","Y","",2004-10-19,"10690","",,""
"3723672010690","555","111","THPL/GYDR","western red cedar/western oakfern","Y","",2004-10-19,"10690","",,""
"3723673010690","560","111","THPL/ADPE","western red cedar/northern maidenhair","Y","",2004-10-19,"10690","",,""
"3723674010690","565","111","TSHE/GYDR","western hemlock/western oakfern","Y","",2004-10-19,"10690","",,""
"3723675010690","260","111","PSME/PHMA5","Douglas-fir/mallow ninebark","Y","",2004-10-19,"10690","",,""
"3723676010690","261","111","PSME/PHMA5-PHMA5","Douglas-fir/mallow ninebark-mallow ninebark","Y","",2004-10-19,"10690","",,""
"3723677010690","262","111","PSME/PHMA5-CARU","Douglas-fir/mallow ninebark-pinegrass","Y","",2004-10-19,"10690","",,""
"3723678010690","263","111","PSME/PHMA5/MAST4","Douglas-fir/mallow ninebark/starry false lily of the vally","Y","",2004-10-19,"10690","",,""
"3723679010690","280","111","PSME/VAME","Douglas-fir/thinleaf huckleberry","Y","",2004-10-19,"10690","",,""
"3723680010690","281","111","PSME/VAME-VAME","Douglas-fir/thinleaf huckleberry-thinleaf huckleberry","Y","",2004-10-19,"10690","",,""
"3723681010690","282","111","PSME/VAME-ARUV","Douglas-fir/thinleaf huckleberry-kinnikinnick","Y","",2004-10-19,"10690","",,""
"3723682010690","283","111","PSME/VAME-XETE","Douglas-fir/thinleaf huckleberry-common beargrass","Y","",2004-10-19,"10690","",,""
"3723683010690","290","111","PSME/LIBO3","Douglas-fir/twinflower","Y","",2004-10-19,"10690","",,""
"3723684010690","291","111","PSME/LIBO3-SYAL","Douglas-fir/twinflower-common snowberry","Y","",2004-10-19,"10690","",,""
"3723685010690","292","111","PSME/LIBO3-VAME","Douglas-fir/twinflower-thinleaf huckleberry","Y","",2004-10-19,"10690","",,""
"3723686010690","293","111","PSME/LIBO3-VAME","Douglas-fir/twinflower-thinleaf huckleberry","Y","",2004-10-19,"10690","",,""
"3723687010690","310","111","PSME/SYAL","Douglas-fir/common snowberry","Y","",2004-10-19,"10690","",,""
"3723688010690","311","111","PSME/SYAL-PSSPS","Douglas-fir/common snowberry-bluebunch wheatgrass","Y","",2004-10-19,"10690","",,""
"3723689010690","312","111","PSME/SYAL-CARU","Douglas-fir/common snowberry-pinegrass","Y","",2004-10-19,"10690","",,""
"3723690010690","313","111","PSME/SYAL-SYAL","Douglas-fir/common snowberry-common snowberry","Y","",2004-10-19,"10690","",,""
"3723691010690","320","111","PSME/CARU","Douglas-fir/pinegrass","Y","",2004-10-19,"10690","",,""
"3723692010690","321","111","PSME/CARU-PSSPS","Douglas-fir/pinegrass-bluebunch wheatgrass","Y","",2004-10-19,"10690","",,""
"3723693010690","322","111","PSME/CARU-ARUV","Douglas-fir/pinegrass-kinnikinnick","Y","",2004-10-19,"10690","",,""
"3723694010690","323","111","PSME/CARU-CARU","Douglas-fir/pinegrass-pinegrass","Y","",2004-10-19,"10690","",,""
"3723695010690","324","111","PSME/CARU-PIPO","Douglas-fir/pinegrass-ponderosa pine","Y","",2004-10-19,"10690","",,""
"3723696010690","330","111","PSME/CAGE2","Douglas-fir/Geyer's sedge","Y","",2004-10-19,"10690","",,""
"3723697010690","340","111","PSME/SPBE2","Douglas-fir/white spirea","Y","",2004-10-19,"10690","",,""
"3723698010690","350","111","PSME/ARUV","Douglas-fir/kinnikinnick","Y","",2004-10-19,"10690","",,""
"3723699010690","360","111","PSME/JUCO6","Douglas-fir/common juniper","Y","",2004-10-19,"10690","",,""
"3723700010690","365","111","PSME/COCA13","Douglas-fir/bunchberry dogwood","Y","",2004-10-19,"10690","",,""
"3723701010690","370","111","PSME/ARCO9","Douglas-fir/heartleaf arnica","Y","",2004-10-19,"10690","",,""
"3723702010690","380","111","PSME/SYOR2","Douglas-fir/mountain snowberry","Y","",2004-10-19,"10690","",,""
"3723703010690","400","111","PICEA","spruce","Y","",2004-10-19,"10690","",,""
"3723704010690","410","111","PICEA/EQAR","spruce/field horsetail","Y","",2004-10-19,"10690","",,""
"3725779010690","623","101","ABLA/CLUN2-VACA13","subalpine fir/bride's bonnet-dwarf bilberry","Y","",2004-10-19,"10690","",,""
"3725780010690","624","101","ABLA/CLUN2-XETE","subalpine fir/bride's bonnet-common beargrass","Y","",2004-10-19,"10690","",,""
"3725781010690","625","101","ABLA/CLUN2-MEFE","subalpine fir/bride's bonnet-rusty menziesia","Y","",2004-10-19,"10690","",,""
"3725782010690","630","101","ABLA/GATR3","subalpine fir/fragrant bedstraw","Y","",2004-10-19,"10690","",,""
"3725783010690","640","101","ABLA/VACA13","subalpine fir/dwarf bilberry","Y","",2004-10-19,"10690","",,""
"3725784010690","650","101","ABLA/CACA4","subalpine fir/bluejoint","Y","",2004-10-19,"10690","",,""
"3725785010690","651","101","ABLA/CACA4-CACA4","subalpine fir/bluejoint-bluejoint","Y","",2004-10-19,"10690","",,""
"3725786010690","653","101","ABLA/CACA4-GATR3","subalpine fir/bluejoint-fragrant bedstraw","Y","",2004-10-19,"10690","",,""
"3725787010690","654","101","ABLA/CACA4-VACA13","subalpine fir/bluejoint-dwarf bilberry","Y","",2004-10-19,"10690","",,""
"3725788010690","660","101","ABLA/LIBO3","subalpine fir/twinflower","Y","",2004-10-19,"10690","",,""
"3725789010690","661","101","ABLA/LIBO3-LIBO3","subalpine fir/twinflower-twinflower","Y","",2004-10-19,"10690","",,""
"3725790010690","662","101","ABLA/LIBO3-XETE","subalpine fir/twinflower-common beargrass","Y","",2004-10-19,"10690","",,""
"3725791010690","663","101","ABLA/LIBO3-VASC","subalpine fir/twinflower-grouse whortleberry","Y","",2004-10-19,"10690","",,""
"3725792010690","670","101","ABLA/MEFE","subalpine fir/rusty menziesia","Y","",2004-10-19,"10690","",,""
"3725793010690","680","101","TSME/MEFE","mountain hemlock/rusty menziesia","Y","",2004-10-19,"10690","",,""
"3725794010690","690","101","ALBA/XETE","subalpine fir/common beargrass","Y","",2004-10-19,"10690","",,""
"3725795010690","691","101","ALBA/XETE-VAME","subalpine fir/common beargrass-thinleaf huckleberry","Y","",2004-10-19,"10690","",,""
"3725796010690","692","101","ALBA/XETE-VASC","subalpine fir/common beargrass-grouse whortleberry","Y","",2004-10-19,"10690","",,""
"3725797010690","700","101","ABLA","subalpine fir (lower subalpine habitat types)","Y","",2004-10-19,"10690","",,""
"3725798010690","710","101","TSME/XETE","mountain hemlock/common beargrass","Y","",2004-10-19,"10690","",,""
"3725799010690","720","101","ABLA/VAME","subalpine fir/thinleaf huckleberry","Y","",2004-10-19,"10690","",,""
"3725800010690","730","101","ABLA/VASC","subalpine fir/grouse whortleberry","Y","",2004-10-19,"10690","",,""
"3725801010690","731","101","ABLA/VASC-CARU","subalpine fir/grouse whortleberry-pinegrass","Y","",2004-10-19,"10690","",,""
"3725802010690","732","101","ABLA/VASC-VASC","subalpine fir/grouse whortleberry-grouse whortleberry","Y","",2004-10-19,"10690","",,""
"3725803010690","733","101","ABLA/VASC-THOC","subalpine fir/grouse whortleberry-western meadow-rue","Y","",2004-10-19,"10690","",,""
"3725804010690","740","101","ABLA/ALVIS","subalpine fir/Sitka alder","Y","",2004-10-19,"10690","",,""
"3725805010690","750","101","ABLA/CARU","subalpine fir/pinegrass","Y","",2004-10-19,"10690","",,""
"3725806010690","770","101","ABLA/CLCOC2","subalpine fir/rock clematis","Y","",2004-10-19,"10690","",,""
"3725807010690","780","101","ABLA/ARCO9","subalpine fir/heartleaf arnica","Y","",2004-10-19,"10690","",,""
"3725808010690","790","101","ABLA/CAGE2","subalpine fir/Geyer's sedge","Y","",2004-10-19,"10690","",,""
"3725809010690","791","101","ABLA/CAGE2-CAGE2","subalpine fir/Geyer's sedge-Geyer's sedge","Y","",2004-10-19,"10690","",,""
"3725810010690","792","101","ABLA/CAGE2-PSME","subalpine fir/Geyer's sedge-Douglas-fir","Y","",2004-10-19,"10690","",,""
"3725811010690","800","101","ABLA","subalpine fir (upper subalpine habitat types)","Y","",2004-10-19,"10690","",,""
"3725812010690","810","101","ABLA/RIMO2","subalpine fir/gooseberry current","Y","",2004-10-19,"10690","",,""
"3725813010690","820","101","ABLA-PIAL/VASC","subalpine fir-whitebark pine/grouse whortleberry","Y","",2004-10-19,"10690","",,""
"3725814010690","830","101","ABLA/LUGLH","subalpine fir/Hitchcock's smooth woodrush","Y","",2004-10-19,"10690","",,""
"3725815010690","00605","205","PIPU/ALINT","blue spruce/thinleaf alder","Y","",2004-10-19,"10690","",,""
"3725816010690","00606","205","PIPU/CAFO3","blue spruce/dryspike sedge","Y","",2004-10-19,"10690","",,""
"3725817010690","00607","205","PIPU/EREX4","blue spruce/sprucefir fleabane","Y","",2004-10-19,"10690","",,""
"3725818010690","006071","205","PIPU/EREX4-EREX4","blue spruce/sprucefir fleabane-sprucefir fleabane","Y","",2004-10-19,"10690","",,""
"3725819010690","006072","205","PIPU/EREX4-PIPO","blue spruce/sprucefir fleabane-ponderosa pine","Y","",2004-10-19,"10690","",,""
"3725820010690","006073","205","PIPU-PIEN/EREX4","blue spruce-Engelmann spruce/sprucefir fleabane","Y","",2004-10-19,"10690","",,""
"3725821010690","00608","205","PIPU-PSME/ARUV","blue spruce-Douglas-fir/kinnikinnick","Y","",2004-10-19,"10690","",,""
"3725822010690","006080","205","PIPU/ARUV","blue spruce/kinnikinnik","Y","",2004-10-19,"10690","",,""
"3725823010690","00609","205","PIPU/FEAR2","blue spruce/Arizona fescue","Y","",2004-10-19,"10690","",,""
"3725824010690","00610","205","PIPU/MARE11","blue spruce/creeping barberry","Y","",2004-10-19,"10690","",,""
"3725825010690","006101","205","PIPU/MARE11-MRE11","blue spruce/creeping barberry-creeping barberry","Y","",2004-10-19,"10690","",,""
"3725826010690","00611","205","PIPU/EQAR","blue spruce/field horsetail","Y","",2004-10-19,"10690","",,""
"3725827010690","00612","205","PIPU/JUCO6","blue spruce/common juniper","Y","",2004-10-19,"10690","",,""
"3725828010690","006120","205","PIPU-PSME/JUCO6","blue spruce-Douglas-fir/common juniper","Y","",2004-10-19,"10690","",,""
"3725829010690","00613","205","PIPU/PACA34","blue spruce/bittercress ragwort","Y","",2004-10-19,"10690","",,""
"3725830010690","006131","205","PIPU-PIEN/PACA34","blue spruce-engelmann spruce/bittercress ragwort","Y","",2004-10-19,"10690","",,""
"3725831010690","00620","205","PIPU/POPR","blue spruce/Kentucky bluegrass (riparian forest)","Y","",2004-10-19,"10690","",,""
"3725832010690","00621","205","PIPU/PSSPS","blue spruce/bluebunch wheatgrass","Y","",2004-10-19,"10690","",,""
"3725833010690","00622","205","PIPU/FRVIG2","blue spruce/Virginia strawberry","Y","",2004-10-19,"10690","",,""
"3725834010690","00623","205","PIPU-PSME","blue spruce-Douglas-fir","Y","",2004-10-19,"10690","",,""
"3725835010690","006231","205","PIPU-PSME/VAAC","blue spruce-Douglas-fir/sharpleaf valerian","Y","",2004-10-19,"10690","",,""
"3725836010690","007","205","PIAL","whitebark pine series","Y","",2004-10-19,"10690","",,""
"3725837010690","00701","205","PIAL/CAGE2","whitebark pine/Geyer's sedge","Y","",2004-10-19,"10690","",,""
"3725838010690","00702","205","PIAL/CARO5","whitebark pine/Ross' sedge","Y","",2004-10-19,"10690","",,""
"3725839010690","007020","205","PIAL/CARO5-CARO5","whitebark pine/Ross' sedge-Ross' sedge","Y","",2004-10-19,"10690","",,""
"3725840010690","007021","205","PIAL/CARO5/PICO","whitebark pine/Ross' sedge/lodgepole pine","Y","",2004-10-19,"10690","",,""
"3725841010690","00704","205","PIAL/FEID","whitebark pine/Idaho fescue","Y","",2004-10-19,"10690","",,""
"3725842010690","00705","205","PIAL/JUCO6","whitebark pine/common juniper","Y","",2004-10-19,"10690","",,""
"3725843010690","007050","205","PIAL/JUCO6-JUCO6","whitebark pine/common juniper-common juniper","Y","",2004-10-19,"10690","",,""
"3725844010690","007051","205","PIAL/JUCO6/SHCA","whitebark pine/common juniper/russet buffaloberry","Y","",2004-10-19,"10690","",,""
"3725845010690","00706","205","PIAL/VASC","whitebark pine/grouse whortleberry","Y","",2004-10-19,"10690","",,""
"3725846010690","00708","205","PIAL-ABLA","whitebark pine-subalpine fir","Y","",2004-10-19,"10690","",,""
"3725847010690","00786","205","LALY-ABLA","subalpine larch-subalpine fir","Y","",2004-10-19,"10690","",,""
"3725848010690","008","205","PIAR","bristlecone pine series","Y","",2004-10-19,"10690","",,""
"3725849010690","00801","205","PIAR/FETH","bristlecone pine/Thurber's fescue","Y","",2004-10-19,"10690","",,""
"3725850010690","00802","205","PIAR/FEAR2","bristlecone pine/Arizona fescue","Y","",2004-10-19,"10690","",,""
"3725851010690","00803","205","PIAR/TRDA2","bristlecone pine/alpine clover","Y","",2004-10-19,"10690","",,""
"3725852010690","00804","205","PIAR/RIMO2","bristlecone pine/gooseberry current (scree forest)","Y","",2004-10-19,"10690","",,""
"3725853010690","0060401","205","PIPU/LIBO3","blue spruce/twinflower","Y","",2004-10-19,"10690","",,""
"3725854010690","00805","205","PIAR/JUCO6","bristlecone pine/common juniper","Y","",2004-10-19,"10690","",,""
"3725855010690","009","205","PICO","lodgepole pine series","Y","",2004-10-19,"10690","",,""
"3725856010690","011101","205","PIPO/FEID-ARPA6","ponderosa pine/Idaho fescue-greenleaf manzanita","Y","",2004-10-19,"10690","",,""
"3725857010690","011102","205","PIPO/FEID-ARTR2","ponderosa pine/Idaho fescue-big sagebrush","Y","",2004-10-19,"10690","",,""
"3725858010690","011103","205","PIPO/FEID-PIPO","ponderosa pine/Idaho fescue-pinus ponderosa","Y","",2004-10-19,"10690","",,""
"3725859010690","011104","205","PIPO/FEID-FEAL","ponderosa pine/Idaho fescue-altai fescue","Y","",2004-10-19,"10690","",,""
"3725860010690","01111","205","PIPO/LEKI2","ponderosa pine/spike fescue","Y","",2004-10-19,"10690","",,""
"3725861010690","01112","205","PIPO/JUCO6","ponderosa pine/commom juniper","Y","",2004-10-19,"10690","",,""
"3725862010690","01117","205","PIPO-PSME/MUMO","ponderosa pine-Douglas-fir/mountain muhly","Y","",2004-10-19,"10690","",,""
"3725863010690","01118","205","PIPO-PIED/QUGA","ponderosa pine-twoneedle pinyon/Gambel oak","Y","",2004-10-19,"10690","",,""
"3725864010690","01119","205","PIPO/PHMO4","ponderosa pine/mountain ninebark","Y","",2004-10-19,"10690","",,""
